,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Country
408,Choklat,Ocumare,377,2009,0.8,Canada,2.5,Venezuela,117,somewhat rare,High Amount,Canada
409,Choklat,"Porcelana, Tabasco",377,2009,0.7,Canada,2.75,Mexico,117,somewhat rare,Average Amount,Canada
410,Choklat,Brazilian,377,2009,0.7,Canada,3.0,Brazil,117,somewhat rare,Average Amount,Canada
411,Choklat,Brazilian,377,2009,0.8,Canada,3.0,Brazil,117,somewhat rare,High Amount,Canada
412,Choklat,Ocumare,377,2009,0.7,Canada,3.0,Venezuela,117,somewhat rare,Average Amount,Canada
414,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,0.75,Canada,3.25,Mexico,117,somewhat rare,Average Amount,Canada
415,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,0.68,Canada,3.75,Peru,117,somewhat rare,Average Amount,Canada
416,Chuao Chocolatier,Choroni,445,2009,0.61,U.S.A.,3.0,Venezuela,738,most common,Light Amount,United States of America
417,Chuao Chocolatier (Pralus),Chuao,486,2010,0.77,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
418,Claudio Corallo,Terreiro Velho P.,470,2010,0.735,Sao Tome,3.75,Sao Tome & Principe,4,extra rare,Average Amount,Sao Tome and Principe
419,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,0.8,Sao Tome,3.0,Sao Tome & Principe,4,extra rare,High Amount,Sao Tome and Principe
420,Claudio Corallo,Terreiro Velho P.,227,2008,0.75,Sao Tome,4.0,Sao Tome & Principe,4,extra rare,Average Amount,Sao Tome and Principe
421,Claudio Corallo,Principe,252,2008,1.0,Sao Tome,1.0,Sao Tome & Principe,4,extra rare,High Amount,Sao Tome and Principe
422,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,0.73,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
423,Coleman & Davis,Sambirano,1646,2015,0.75,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
424,Compania de Chocolate (Salgado),Sur del Lago,579,2010,0.7,Argentina,3.25,Venezuela,9,extra rare,Average Amount,Argentina
425,Compania de Chocolate (Salgado),Carenero Superior,292,2008,0.8,Argentina,2.75,Venezuela,9,extra rare,High Amount,Argentina
426,Compania de Chocolate (Salgado),Moxos,292,2008,0.72,Argentina,3.25,Bolivia,9,extra rare,Average Amount,Argentina
427,Compania de Chocolate (Salgado),Ocumare,292,2008,0.7,Argentina,3.75,Venezuela,9,extra rare,Average Amount,Argentina
428,Compania de Chocolate (Salgado),Esmeraldas,296,2008,0.88,Argentina,2.75,Ecuador,9,extra rare,High Amount,Argentina
429,Condor,Camino Verde,1630,2015,0.76,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
430,Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,0.78,U.S.A.,2.75,Vietnam,738,most common,Average Amount,United States of America
431,Coppeneur,"Ecuador, Puristique",1169,2013,0.65,Germany,3.25,Ecuador,35,rare,Average Amount,Germany
432,Coppeneur,Ghana Puristique,813,2012,0.85,Germany,3.5,Ghana,35,rare,High Amount,Germany
433,Coppeneur,Ecuador Puristique,817,2012,1.0,Germany,1.5,Ecuador,35,rare,High Amount,Germany
434,Coppeneur,Uba Budo,821,2012,0.72,Germany,3.75,Sao Tome & Principe,35,rare,Average Amount,Germany
435,Coppeneur,Madagascar,959,2012,0.7,Germany,3.5,Madagascar,35,rare,Average Amount,Germany
436,Coppeneur,Grenada,470,2010,0.72,Germany,3.25,Grenada,35,rare,Average Amount,Germany
437,Coppeneur,Chuao,478,2010,0.7,Germany,3.0,Venezuela,35,rare,Average Amount,Germany
438,Coppeneur,"Los Rios, H. Iara",558,2010,0.72,Germany,2.5,Ecuador,35,rare,Average Amount,Germany
439,Coppeneur,Trinidad,558,2010,0.72,Germany,3.0,Trinidad,35,rare,Average Amount,Germany
440,Coppeneur,Jamaica,558,2010,0.72,Germany,3.25,Jamaica,35,rare,Average Amount,Germany
441,Coppeneur,Ocumare 61,558,2010,0.72,Germany,3.25,Venezuela,35,rare,Average Amount,Germany
442,Coppeneur,"Porcelana, Apotequil",341,2009,0.72,Germany,3.0,Peru,35,rare,Average Amount,Germany
443,Coppeneur,"Porcelana, Apotequil",445,2009,0.62,Germany,3.25,Peru,35,rare,Light Amount,Germany
444,Coppeneur,Chuao 100hr,451,2009,0.7,Germany,3.5,Venezuela,35,rare,Average Amount,Germany
445,Coppeneur,Chuao 70hr,451,2009,0.7,Germany,3.75,Venezuela,35,rare,Average Amount,Germany
446,Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,0.72,Germany,3.0,Mexico,35,rare,Average Amount,Germany
447,Coppeneur,"Porcelana, Venezuela",220,2008,0.72,Germany,3.0,Venezuela,35,rare,Average Amount,Germany
448,Coppeneur,"Sambirano, Menava P.",196,2007,0.72,Germany,3.0,Madagascar,35,rare,Average Amount,Germany
449,Cravve,New Ireland,1283,2014,0.7,Australia,2.5,Papua New Guinea,46,rare,Average Amount,Australia
450,Cravve,"Vanuatu, batch 2410",1335,2014,0.83,Australia,2.75,Vanuatu,46,rare,High Amount,Australia
451,Cravve,"Tanzania, batch a1",971,2012,0.75,Australia,3.25,Tanzania,46,rare,Average Amount,Australia
452,Cravve,"Bahia, batch a1213",975,2012,0.65,Australia,3.25,Brazil,46,rare,Average Amount,Australia
453,Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,0.67,Australia,3.25,Fiji,46,rare,Average Amount,Australia
454,Cravve,Vanuatu,975,2012,0.64,Australia,3.25,Vanuatu,46,rare,Light Amount,Australia
455,Cravve,Djual Island,975,2012,0.75,Australia,3.5,Papua New Guinea,46,rare,Average Amount,Australia
456,Creo,"""heirloom"", Arriba Nacional",1736,2016,0.85,U.S.A.,3.25,Ecuador,738,most common,High Amount,United States of America
457,Creo,"""heirloom"", Arriba Nacional",1736,2016,0.73,U.S.A.,3.75,Ecuador,738,most common,Average Amount,United States of America
458,Daintree,Goodman Estate,1654,2015,0.7,Australia,2.75,Australia,46,rare,Average Amount,Australia
459,Daintree,"Daintree Estates, N. Queensland",785,2011,0.7,Australia,3.25,Australia,46,rare,Average Amount,Australia
460,Dalloway,"Dominican Republic, batch 7",1928,2017,0.72,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
461,Damson,Robson Estate,1610,2015,0.7,U.K.,3.0,Trinidad,95,somewhat rare,Average Amount,United Kingdom
462,Damson,Los Rios,1610,2015,0.7,U.K.,3.5,Ecuador,95,somewhat rare,Average Amount,United Kingdom
463,Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,0.7,U.K.,2.25,Grenada,95,somewhat rare,Average Amount,United Kingdom
464,Damson,O'Payo,1666,2015,0.7,U.K.,2.75,Nicaragua,95,somewhat rare,Average Amount,United Kingdom
465,Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,0.7,U.S.A.,3.0,Belize,738,most common,Average Amount,United States of America
466,Dandelion,Maya Mountain,1219,2014,0.7,U.S.A.,3.5,Belize,738,most common,Average Amount,United States of America
467,Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,0.7,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
468,Dandelion,Buto,1303,2014,0.7,U.S.A.,2.75,Liberia,738,most common,Average Amount,United States of America
469,Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,0.7,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
470,Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,0.7,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
471,Dandelion,Patanemo,1026,2013,0.7,U.S.A.,3.25,Venezuela,738,most common,Average Amount,United States of America
472,Dandelion,"Mantuano, 2012",1085,2013,0.7,U.S.A.,3.5,Venezuela,738,most common,Average Amount,United States of America
473,Dandelion,Papua New Guinea,1153,2013,0.7,U.S.A.,3.5,Papua New Guinea,738,most common,Average Amount,United States of America
474,Dandelion,Upala,805,2012,0.7,U.S.A.,3.0,Costa Rica,738,most common,Average Amount,United States of America
475,Dandelion,Colombian,805,2012,0.7,U.S.A.,3.25,Colombia,738,most common,Average Amount,United States of America
476,Dandelion,"Elvesia, 2011",915,2012,0.7,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
477,Dandelion,Dominican Republic,654,2011,0.7,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
478,Dandelion,Madagascar,654,2011,0.7,U.S.A.,3.25,Madagascar,738,most common,Average Amount,United States of America
479,Dandelion,Tanzania,654,2011,0.7,U.S.A.,3.25,Tanzania,738,most common,Average Amount,United States of America
480,Danta,Los Ujuxtes,1223,2014,0.82,Guatemala,3.25,Guatemala,10,extra rare,High Amount,Guatemala
481,Danta,Chuao,987,2012,0.75,Guatemala,3.0,Venezuela,10,extra rare,Average Amount,Guatemala
482,Danta,Los Ujuxtes,987,2012,0.7,Guatemala,3.75,Guatemala,10,extra rare,Average Amount,Guatemala
483,Danta,Sambirano,987,2012,0.7,Guatemala,3.75,Madagascar,10,extra rare,Average Amount,Guatemala
484,Danta,Las Acacias E.,987,2012,0.7,Guatemala,4.0,Guatemala,10,extra rare,Average Amount,Guatemala
485,Danta,"Oscuro, Finca Chimelb",991,2012,0.7,Guatemala,3.25,Guatemala,10,extra rare,Average Amount,Guatemala
486,Danta,Los Ujuxtes,661,2011,0.6,Guatemala,3.5,Guatemala,10,extra rare,Light Amount,Guatemala
487,Danta,Las Acacias E.,423,2009,0.75,Guatemala,3.0,Guatemala,10,extra rare,Average Amount,Guatemala
488,Danta,Las Acacias E.,423,2009,0.6,Guatemala,3.25,Guatemala,10,extra rare,Light Amount,Guatemala
489,DAR,"Venezuela, batch 122",1920,2016,0.72,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
490,DAR,Vietnam,1920,2016,0.72,U.S.A.,3.0,Vietnam,738,most common,Average Amount,United States of America
491,DAR,"DUO, batch 002",1920,2016,0.7,U.S.A.,3.25,"Ecuador, Costa Rica",738,most common,Average Amount,United States of America
492,Dark Forest,Bolivia,1708,2016,0.75,U.S.A.,3.25,Bolivia,738,most common,Average Amount,United States of America
493,Dark Forest,Madagascar,1550,2015,0.7,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
494,Dark Forest,Ocumare,1550,2015,0.7,U.S.A.,3.25,Venezuela,738,most common,Average Amount,United States of America
495,Dark Forest,Tanzania,1554,2015,0.7,U.S.A.,3.0,Tanzania,738,most common,Average Amount,United States of America
496,Dark Forest,Ecuador,1554,2015,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
497,Davis,Ghana,1093,2013,0.7,U.S.A.,2.5,Ghana,738,most common,Average Amount,United States of America
498,Davis,Rainforest,1093,2013,0.7,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
499,Davis,Venezuela,1093,2013,0.7,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
500,Davis,West Africa,907,2012,0.58,U.S.A.,3.25,West Africa,738,most common,Light Amount,United States of America
501,De Mendes,"Nativo, Varzea",1462,2015,0.72,Brazil,3.5,Brazil,17,extra rare,Average Amount,Brazil
502,De Mendes,"Selvagem, Jari",1462,2015,0.65,Brazil,3.5,Brazil,17,extra rare,Average Amount,Brazil
503,De Villiers,Bundibugyo District,1832,2016,0.7,South Africa,2.5,Uganda,3,extra rare,Average Amount,South Africa
504,De Villiers,"Sambirano Valley, batch 2477",1832,2016,0.7,South Africa,3.0,Madagascar,3,extra rare,Average Amount,South Africa
505,Dean and Deluca (Belcolade),Madagascar,170,2007,0.66,U.S.A.,2.5,Madagascar,738,most common,Average Amount,United States of America
506,Dean and Deluca (Belcolade),Costa Rica,175,2007,0.64,U.S.A.,3.0,Costa Rica,738,most common,Light Amount,United States of America
507,Dean and Deluca (Belcolade),Ecuador,175,2007,0.71,U.S.A.,3.0,Ecuador,738,most common,Average Amount,United States of America
508,Dean and Deluca (Belcolade),Ghana,175,2007,0.6,U.S.A.,3.0,Ghana,738,most common,Light Amount,United States of America
509,Dean and Deluca (Belcolade),Papua New Guinea,180,2007,0.64,U.S.A.,3.0,Papua New Guinea,738,most common,Light Amount,United States of America
510,Dean and Deluca (Belcolade),Peru,180,2007,0.64,U.S.A.,3.0,Peru,738,most common,Light Amount,United States of America
511,Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,0.64,France,3.0,Papua New Guinea,144,somewhat common,Light Amount,France
512,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,0.66,France,3.75,Venezuela,144,somewhat common,Average Amount,France
513,Desbarres,"Kilombero, batch 41",1916,2016,0.72,Canada,2.5,Tanzania,117,somewhat rare,Average Amount,Canada
514,DeVries,Bolivian,241,2008,0.8,U.S.A.,2.75,Bolivia,738,most common,High Amount,United States of America
515,DeVries,Costa Rica,166,2007,0.77,U.S.A.,3.5,Costa Rica,738,most common,Average Amount,United States of America
516,DeVries,Dominican Republic,166,2007,0.77,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
517,Dick Taylor,Lanquin Estate,1952,2017,0.7,U.S.A.,3.75,Guatemala,738,most common,Average Amount,United States of America
518,Dick Taylor,Tien Giang,1864,2016,0.78,U.S.A.,3.5,Vietnam,738,most common,Average Amount,United States of America
519,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,0.7,U.S.A.,3.75,Bolivia,738,most common,Average Amount,United States of America
520,Dick Taylor,Elvesia,1235,2014,0.74,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
521,Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
522,Dick Taylor,Camino Verde,1193,2013,0.76,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
523,Dick Taylor,Bolivia,895,2012,0.75,U.S.A.,2.75,Bolivia,738,most common,Average Amount,United States of America
524,Dick Taylor,Belize,955,2012,0.72,U.S.A.,2.75,Belize,738,most common,Average Amount,United States of America
525,Dick Taylor,Sambirano,661,2011,0.8,U.S.A.,2.75,Madagascar,738,most common,High Amount,United States of America
526,Dick Taylor,Sambirano,661,2011,0.72,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
527,Dick Taylor,Mantuano,682,2011,0.75,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
528,Dick Taylor,La Red,769,2011,0.74,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
529,Dick Taylor,Ecuador,769,2011,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
530,Doble & Bignall,Puerto Cabello,1688,2015,0.85,U.K.,3.0,Venezuela,95,somewhat rare,High Amount,United Kingdom
531,Doble & Bignall,"Panama, Raven",1371,2014,0.72,U.K.,3.25,Panama,95,somewhat rare,Average Amount,United Kingdom
532,Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,0.72,U.K.,3.25,Venezuela,95,somewhat rare,Average Amount,United Kingdom
533,Doble & Bignall,Johe,1407,2014,0.72,U.K.,3.5,Nicaragua,95,somewhat rare,Average Amount,United Kingdom
534,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.7,U.S.A.,3.75,Hawaii,738,most common,Average Amount,United States of America
535,Dolfin (Belcolade),Africa,304,2008,0.88,Belgium,3.0,West Africa,37,rare,High Amount,Belgium
536,Domori,Hacienda Victoria,1672,2015,0.7,Italy,3.75,Ecuador,54,rare,Average Amount,Italy
537,Domori,Ocumare 77,1672,2015,0.7,Italy,3.75,Venezuela,54,rare,Average Amount,Italy
538,Domori,"IL100, H. San Jose",1109,2013,1.0,Italy,3.0,Venezuela,54,rare,High Amount,Italy
539,Domori,Morogoro,863,2012,0.7,Italy,3.5,Tanzania,54,rare,Average Amount,Italy
540,Domori,Guasare,863,2012,0.7,Italy,3.75,Venezuela,54,rare,Average Amount,Italy
541,Domori,"Canoabo, Hacienda San Jose",693,2011,0.7,Italy,3.5,Venezuela,54,rare,Average Amount,Italy
542,Domori,"Chuao, Hacienda San Jose",470,2010,0.7,Italy,3.0,Venezuela,54,rare,Average Amount,Italy
543,Domori,"Carupano, H. San Jose",227,2008,0.7,Italy,3.0,Venezuela,54,rare,Average Amount,Italy
544,Domori,Teyuna,272,2008,0.7,Italy,3.0,Colombia,54,rare,Average Amount,Italy
545,Domori,Porcelana,111,2007,0.7,Italy,4.0,Venezuela,54,rare,Average Amount,Italy
546,Domori,"Ocumare 61, Puertomar",129,2007,0.75,Italy,3.25,Venezuela,54,rare,Average Amount,Italy
547,Domori,Granella,135,2007,0.6,Italy,3.25,Venezuela,54,rare,Light Amount,Italy
548,Domori,Madagascar,135,2007,0.7,Italy,3.5,Madagascar,54,rare,Average Amount,Italy
549,Domori,Madagared,192,2007,0.7,Italy,3.5,Madagascar,54,rare,Average Amount,Italy
550,Domori,"Java, Javablond",192,2007,0.7,Italy,3.75,Indonesia,54,rare,Average Amount,Italy
551,Domori,Ecuador,192,2007,0.7,Italy,4.0,Ecuador,54,rare,Average Amount,Italy
552,Domori,"Ocumare 67, Puertofino",192,2007,0.7,Italy,4.0,Venezuela,54,rare,Average Amount,Italy
553,Domori,Sur del Lago Classificado,87,2006,0.7,Italy,3.0,Venezuela,54,rare,Average Amount,Italy
554,Domori,Apurimac,87,2006,0.7,Italy,3.25,Peru,54,rare,Average Amount,Italy
555,Domori,Carenero Superior,87,2006,0.7,Italy,3.5,Venezuela,54,rare,Average Amount,Italy
556,Dormouse,Non Pariel Estate,1880,2016,0.75,U.K.,2.75,Grenada,95,somewhat rare,Average Amount,United Kingdom
557,Dormouse,"Rio Caribe, Batch 7",1672,2015,0.7,U.K.,2.5,Venezuela,95,somewhat rare,Average Amount,United Kingdom
558,Dormouse,"Colombia, Batch 9",1676,2015,0.8,U.K.,2.75,Colombia,95,somewhat rare,High Amount,United Kingdom
559,Dormouse,"Madagascar, Batch 8",1676,2015,0.77,U.K.,2.75,Madagascar,95,somewhat rare,Average Amount,United Kingdom
560,Duffy's,"Rio Dulce, Xoco",1662,2015,0.7,U.K.,4.0,Guatemala,95,somewhat rare,Average Amount,United Kingdom
561,Duffy's,"Chuno, Xoco",1331,2014,0.7,U.K.,3.5,Nicaragua,95,somewhat rare,Average Amount,United Kingdom
562,Duffy's,"Rico Rugoso, Xoco",1331,2014,0.76,U.K.,3.75,Nicaragua,95,somewhat rare,Average Amount,United Kingdom
563,Duffy's,Ocumare,923,2012,0.72,U.K.,3.75,Venezuela,95,somewhat rare,Average Amount,United Kingdom
564,Duffy's,"Indio Rojo, Xoco",623,2011,0.72,U.K.,3.75,Honduras,95,somewhat rare,Average Amount,United Kingdom
565,Duffy's,Dominican Republic,661,2011,0.65,U.K.,3.5,Dominican Republic,95,somewhat rare,Average Amount,United Kingdom
566,Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,0.72,U.K.,3.0,Panama,95,somewhat rare,Average Amount,United Kingdom
567,Duffy's,"Nicaliso, Xoco",697,2011,0.71,U.K.,3.25,Nicaragua,95,somewhat rare,Average Amount,United Kingdom
568,Duffy's,Ocumare,765,2011,0.71,U.K.,3.5,Venezuela,95,somewhat rare,Average Amount,United Kingdom
569,Duffy's,Panama,516,2010,0.7,U.K.,3.5,Panama,95,somewhat rare,Average Amount,United Kingdom
570,Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,0.72,U.K.,3.75,Ecuador,95,somewhat rare,Average Amount,United Kingdom
571,Duffy's,Star of Ecuador,523,2010,0.7,U.K.,2.5,Ecuador,95,somewhat rare,Average Amount,United Kingdom
572,Duffy's,Star of Peru,523,2010,0.7,U.K.,3.75,Peru,95,somewhat rare,Average Amount,United Kingdom
573,Dulcinea,Dominican Republic,1506,2015,0.7,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
574,Durand,Madagascar,841,2012,0.82,France,2.75,Madagascar,144,somewhat common,High Amount,France
575,Durci,"Maranon, Joya Rara",1626,2015,0.7,U.S.A.,3.5,Peru,738,most common,Average Amount,United States of America
576,Durci,"Rio Caribe, Tepui Treasure",1626,2015,0.7,U.S.A.,3.5,Venezuela,738,most common,Average Amount,United States of America
577,Durci,Taino Secret,1630,2015,0.7,U.S.A.,3.25,Domincan Republic,738,most common,Average Amount,United States of America
578,Durci,"Carenero, Empyrean Sabor",1630,2015,0.7,U.S.A.,3.25,Venezuela,738,most common,Average Amount,United States of America
579,Durci,Corona Arriba,1630,2015,0.7,U.S.A.,4.0,Ecuador,738,most common,Average Amount,United States of America
580,East Van Roasters,Peru,1343,2014,0.7,Canada,3.25,Peru,117,somewhat rare,Average Amount,Canada
581,East Van Roasters,Madagascar,1343,2014,0.7,Canada,3.5,Madagascar,117,somewhat rare,Average Amount,Canada
582,East Van Roasters,Dominican Republic,1343,2014,0.7,Canada,3.75,Dominican Republic,117,somewhat rare,Average Amount,Canada
583,Eau de Rose,Tumaco,1812,2016,0.7,Canada,3.25,Colombia,117,somewhat rare,Average Amount,Canada
584,Eau de Rose,Arauca,1812,2016,0.7,Canada,3.25,Colombia,117,somewhat rare,Average Amount,Canada
585,Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,0.72,U.S.A.,2.75,Peru,738,most common,Average Amount,United States of America
586,Edelmond,Porcelana,1876,2016,0.68,Germany,3.0,Venezuela,35,rare,Average Amount,Germany
587,El Ceibo,"Alto Beni, Covendo Region",709,2011,0.75,Bolivia,3.75,Bolivia,2,extra rare,Average Amount,Bolivia
588,El Ceibo,Alto Beni,252,2008,0.71,Bolivia,2.75,Bolivia,2,extra rare,Average Amount,Bolivia
589,El Rey,San Joaquin,1662,2015,0.7,Venezuela,3.75,Venezuela,20,extra rare,Average Amount,Venezuela
590,El Rey,"Rio Caribe, Cariaco",439,2009,0.605,Venezuela,2.75,Venezuela,20,extra rare,Light Amount,Venezuela
591,El Rey,"Rio Caribe, Macuro",439,2009,0.7,Venezuela,3.0,Venezuela,20,extra rare,Average Amount,Venezuela
592,El Rey,"Carenero Superior, Apamate",206,2008,0.74,Venezuela,2.5,Venezuela,20,extra rare,Average Amount,Venezuela
593,El Rey,"Carenero Superior, Bucare",206,2008,0.58,Venezuela,2.5,Venezuela,20,extra rare,Light Amount,Venezuela
594,El Rey,"Carenero Superior, Mijao",206,2008,0.61,Venezuela,3.0,Venezuela,20,extra rare,Light Amount,Venezuela
595,El Rey,"Carenero Superior, Gran Saman",32,2006,0.7,Venezuela,2.75,Venezuela,20,extra rare,Average Amount,Venezuela
598,Emily's,Patanemo,1450,2015,0.79,Japan,3.0,Venezuela,17,extra rare,Average Amount,Japan
599,Emily's,Peru,1454,2015,0.78,Japan,3.5,Peru,17,extra rare,Average Amount,Japan
600,ENNA,"Wampusirpi, batch 007",1916,2016,0.75,U.S.A.,3.25,Honduras,738,most common,Average Amount,United States of America
601,Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,0.8,Spain,3.25,Sao Tome & Principe,21,extra rare,High Amount,Spain
602,Erithaj (A. Morin),Ben Tre,1205,2014,0.7,France,3.25,Vietnam,144,somewhat common,Average Amount,France
603,Erithaj (A. Morin),Ham Luong,1209,2014,0.8,France,3.0,Vietnam,144,somewhat common,High Amount,France
604,Erithaj (A. Morin),Ba Lai,1209,2014,0.74,France,3.25,Vietnam,144,somewhat common,Average Amount,France
605,Escazu,Rio Caribe,903,2012,0.7,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
606,Escazu,Guapiles,414,2009,0.65,U.S.A.,2.0,Costa Rica,738,most common,Average Amount,United States of America
607,Escazu,Carenero Superior,423,2009,0.81,U.S.A.,3.5,Venezuela,738,most common,High Amount,United States of America
608,Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,0.74,U.S.A.,2.75,"Cost Rica, Ven",738,most common,Average Amount,United States of America
609,Escazu,Ocumare,252,2008,0.72,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
610,Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,0.55,U.S.A.,2.5,"Peru, Madagascar",738,most common,Light Amount,United States of America
611,Ethel's Artisan (Mars),Trinidad,666,2011,0.55,U.S.A.,2.5,Trinidad,738,most common,Light Amount,United States of America
612,Ethel's Artisan (Mars),Porcelana,666,2011,0.7,U.S.A.,2.5,Venezuela,738,most common,Average Amount,United States of America
613,Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,0.62,U.S.A.,2.5,"Venezuela, Trinidad",738,most common,Light Amount,United States of America
614,Ethereal,Belize,1275,2014,0.8,U.S.A.,3.0,Belize,738,most common,High Amount,United States of America
615,Ethereal,Ecuador,1275,2014,0.8,U.S.A.,3.5,Ecuador,738,most common,High Amount,United States of America
616,Ethereal,Dominican Republic,1275,2014,0.8,U.S.A.,3.75,Dominican Republic,738,most common,High Amount,United States of America
617,Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,0.75,U.S.A.,2.75,Brazil,738,most common,Average Amount,United States of America
618,Feitoria Cacao,Blue Mountain,1732,2016,0.76,Portugal,3.0,Jamaica,3,extra rare,Average Amount,Portugal
619,Feitoria Cacao,Cuyagua,1736,2016,0.76,Portugal,2.5,Venezuela,3,extra rare,Average Amount,Portugal
620,Feitoria Cacao,Maya Mountain,1736,2016,0.76,Portugal,2.75,Belize,3,extra rare,Average Amount,Portugal
621,Felchlin,Grenada,494,2010,0.58,Switzerland,3.5,Grenada,35,rare,Light Amount,Switzerland
622,Felchlin,Elvesia P.,105,2006,0.74,Switzerland,3.0,Dominican Republic,35,rare,Average Amount,Switzerland
623,Felchlin,"Madagascar, Grand Cru",48,2006,0.64,Switzerland,3.0,Madagascar,35,rare,Light Amount,Switzerland
624,Felchlin,Maracaibo Clasificado,48,2006,0.65,Switzerland,3.0,Venezuela,35,rare,Average Amount,Switzerland
625,Felchlin,Arriba,48,2006,0.72,Switzerland,3.5,Ecuador,35,rare,Average Amount,Switzerland
626,Felchlin,"Alto Beni, Cru Savage",56,2006,0.68,Switzerland,4.0,Bolivia,35,rare,Average Amount,Switzerland
627,Finca,Puerto Rico,1283,2014,0.65,U.S.A.,2.25,Puerto Rico,738,most common,Average Amount,United States of America
628,Finca,Dominican Republic,1283,2014,0.8,U.S.A.,3.0,Dominican Republic,738,most common,High Amount,United States of America
629,Finca,Dominican Republic,1283,2014,0.7,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
630,Finca,Dominican Republic,1287,2014,0.85,U.S.A.,2.5,Dominican Republic,738,most common,High Amount,United States of America
631,Forever Cacao,Rio Eni,1267,2014,0.72,U.K.,2.75,Peru,95,somewhat rare,Average Amount,United Kingdom
632,Forteza (Cortes),Dominican Republic,1776,2016,0.7,Puerto Rico,2.75,Domincan Republic,4,extra rare,Average Amount,Puerto Rico
633,Forteza (Cortes),Puerto Rico,1776,2016,0.8,Puerto Rico,2.75,Domincan Republic,4,extra rare,High Amount,Puerto Rico
634,Fossa,"Akesson's E., Sambirano V.",1772,2016,0.7,Singapore,2.75,Madagascar,3,extra rare,Average Amount,Singapore
635,Fossa,"Camino Verde P., Balao, Guayas",1776,2016,0.75,Singapore,3.5,Ecuador,3,extra rare,Average Amount,Singapore
636,Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,0.67,Singapore,3.75,Tanzania,3,extra rare,Average Amount,Singapore
637,Franceschi,Choroni,1355,2014,0.7,Venezuela,3.5,Venezuela,20,extra rare,Average Amount,Venezuela
