,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company Latitude,Company Logitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,Bean_Origin_Category
451,Cravve,"Tanzania, batch a1",971,2012,0.75,Australia,3.25,Tanzania,-25.27,133.78,46,rare,Average Amount,34.8888,-6.369028,1,Extra Rare
452,Cravve,"Bahia, batch a1213",975,2012,0.65,Australia,3.25,Brazil,-25.27,133.78,46,rare,Average Amount,-51.9253,-14.235,1,Extra Rare
453,Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,0.67,Australia,3.25,Fiji,-25.27,133.78,46,rare,Average Amount,179.4144,-17.7134,1,Extra Rare
454,Cravve,Vanuatu,975,2012,0.64,Australia,3.25,Vanuatu,-25.27,133.78,46,rare,Light Amount,166.9592,-15.3767,3,Somewhat Rare
455,Cravve,Djual Island,975,2012,0.75,Australia,3.5,Papua New Guinea,-25.27,133.78,46,rare,Average Amount,147.3257,-6.314993,1,Extra Rare
456,Creo,"""heirloom"", Arriba Nacional",1736,2016,0.85,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,High Amount,-78.1834,-1.8312,2,Rare
457,Creo,"""heirloom"", Arriba Nacional",1736,2016,0.73,U.S.A.,3.75,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,2,Rare
458,Daintree,Goodman Estate,1654,2015,0.7,Australia,2.75,Australia,-25.27,133.78,46,rare,Average Amount,133.7751,-25.2744,1,Extra Rare
459,Daintree,"Daintree Estates, N. Queensland",785,2011,0.7,Australia,3.25,Australia,-25.27,133.78,46,rare,Average Amount,133.7751,-25.2744,1,Extra Rare
460,Dalloway,"Dominican Republic, batch 7",1928,2017,0.72,U.S.A.,2.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
461,Damson,Robson Estate,1610,2015,0.7,U.K.,3.0,Trinidad,55.37,-1.17,95,somewhat rare,Average Amount,-61.2225,10.6918,1,Extra Rare
462,Damson,Los Rios,1610,2015,0.7,U.K.,3.5,Ecuador,55.37,-1.17,95,somewhat rare,Average Amount,-78.1834,-1.8312,6,Somewhat Rare
463,Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,0.7,U.K.,2.25,Grenada,55.37,-1.17,95,somewhat rare,Average Amount,-61.6042,12.1165,1,Extra Rare
464,Damson,O'Payo,1666,2015,0.7,U.K.,2.75,Nicaragua,55.37,-1.17,95,somewhat rare,Average Amount,-85.2072,12.8654,1,Extra Rare
465,Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,0.7,U.S.A.,3.0,Belize,37.09,-95.71,738,most common,Average Amount,-88.4977,17.1899,1,Extra Rare
466,Dandelion,Maya Mountain,1219,2014,0.7,U.S.A.,3.5,Belize,37.09,-95.71,738,most common,Average Amount,-88.4977,17.1899,10,Somewhat Common
467,Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,0.7,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
468,Dandelion,Buto,1303,2014,0.7,U.S.A.,2.75,Liberia,37.09,-95.71,738,most common,Average Amount,-9.4295,6.4281,1,Extra Rare
469,Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
470,Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,0.7,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
471,Dandelion,Patanemo,1026,2013,0.7,U.S.A.,3.25,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,7,Somewhat Rare
472,Dandelion,"Mantuano, 2012",1085,2013,0.7,U.S.A.,3.5,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
473,Dandelion,Papua New Guinea,1153,2013,0.7,U.S.A.,3.5,Papua New Guinea,37.09,-95.71,738,most common,Average Amount,147.3257,-6.314993,15,Somewhat Common
474,Dandelion,Upala,805,2012,0.7,U.S.A.,3.0,Costa Rica,37.09,-95.71,738,most common,Average Amount,-84.0739,9.7489,2,Rare
475,Dandelion,Colombian,805,2012,0.7,U.S.A.,3.25,Colombia,37.09,-95.71,738,most common,Average Amount,-74.2973,4.5709,2,Rare
476,Dandelion,"Elvesia, 2011",915,2012,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
477,Dandelion,Dominican Republic,654,2011,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,37,Common
478,Dandelion,Madagascar,654,2011,0.7,U.S.A.,3.25,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669,56,Common
479,Dandelion,Tanzania,654,2011,0.7,U.S.A.,3.25,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028,11,Somewhat Common
480,Danta,Los Ujuxtes,1223,2014,0.82,Guatemala,3.25,Guatemala,15.78,-90.23,10,extra rare,High Amount,-90.2308,15.7835,3,Somewhat Rare
481,Danta,Chuao,987,2012,0.75,Guatemala,3.0,Venezuela,15.78,-90.23,10,extra rare,Average Amount,-66.5897,6.4238,19,Common
482,Danta,Los Ujuxtes,987,2012,0.7,Guatemala,3.75,Guatemala,15.78,-90.23,10,extra rare,Average Amount,-90.2308,15.7835,3,Somewhat Rare
483,Danta,Sambirano,987,2012,0.7,Guatemala,3.75,Madagascar,15.78,-90.23,10,extra rare,Average Amount,46.8691,-18.7669,19,Common
484,Danta,Las Acacias E.,987,2012,0.7,Guatemala,4.0,Guatemala,15.78,-90.23,10,extra rare,Average Amount,-90.2308,15.7835,3,Somewhat Rare
485,Danta,"Oscuro, Finca Chimelb",991,2012,0.7,Guatemala,3.25,Guatemala,15.78,-90.23,10,extra rare,Average Amount,-90.2308,15.7835,1,Extra Rare
486,Danta,Los Ujuxtes,661,2011,0.6,Guatemala,3.5,Guatemala,15.78,-90.23,10,extra rare,Light Amount,-90.2308,15.7835,3,Somewhat Rare
487,Danta,Las Acacias E.,423,2009,0.75,Guatemala,3.0,Guatemala,15.78,-90.23,10,extra rare,Average Amount,-90.2308,15.7835,3,Somewhat Rare
488,Danta,Las Acacias E.,423,2009,0.6,Guatemala,3.25,Guatemala,15.78,-90.23,10,extra rare,Light Amount,-90.2308,15.7835,3,Somewhat Rare
489,DAR,"Venezuela, batch 122",1920,2016,0.72,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
490,DAR,Vietnam,1920,2016,0.72,U.S.A.,3.0,Vietnam,37.09,-95.71,738,most common,Average Amount,108.2772,14.0583,5,Somewhat Rare
491,DAR,"DUO, batch 002",1920,2016,0.7,U.S.A.,3.25,"Ecuador, Costa Rica",37.09,-95.71,738,most common,Average Amount,-81.0,1.0,1,Extra Rare
492,Dark Forest,Bolivia,1708,2016,0.75,U.S.A.,3.25,Bolivia,37.09,-95.71,738,most common,Average Amount,-63.5887,-16.2902,12,Somewhat Common
493,Dark Forest,Madagascar,1550,2015,0.7,U.S.A.,3.0,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669,56,Common
494,Dark Forest,Ocumare,1550,2015,0.7,U.S.A.,3.25,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,17,Common
495,Dark Forest,Tanzania,1554,2015,0.7,U.S.A.,3.0,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028,11,Somewhat Common
496,Dark Forest,Ecuador,1554,2015,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,41,Common
497,Davis,Ghana,1093,2013,0.7,U.S.A.,2.5,Ghana,37.09,-95.71,738,most common,Average Amount,-1.0232,7.9465,15,Somewhat Common
498,Davis,Rainforest,1093,2013,0.7,U.S.A.,2.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
499,Davis,Venezuela,1093,2013,0.7,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,21,Common
500,Davis,West Africa,907,2012,0.58,U.S.A.,3.25,West Africa,37.09,-95.71,738,most common,Light Amount,-3.5,10.0,3,Somewhat Rare
501,De Mendes,"Nativo, Varzea",1462,2015,0.72,Brazil,3.5,Brazil,-14.24,-51.93,17,extra rare,Average Amount,-51.9253,-14.235,1,Extra Rare
502,De Mendes,"Selvagem, Jari",1462,2015,0.65,Brazil,3.5,Brazil,-14.24,-51.93,17,extra rare,Average Amount,-51.9253,-14.235,1,Extra Rare
503,De Villiers,Bundibugyo District,1832,2016,0.7,South Africa,2.5,Uganda,-30.56,22.94,3,extra rare,Average Amount,32.2903,1.3733,1,Extra Rare
504,De Villiers,"Sambirano Valley, batch 2477",1832,2016,0.7,South Africa,3.0,Madagascar,-30.56,22.94,3,extra rare,Average Amount,46.8691,-18.7669,1,Extra Rare
505,Dean and Deluca (Belcolade),Madagascar,170,2007,0.66,U.S.A.,2.5,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669,56,Common
506,Dean and Deluca (Belcolade),Costa Rica,175,2007,0.64,U.S.A.,3.0,Costa Rica,37.09,-95.71,738,most common,Light Amount,-84.0739,9.7489,11,Somewhat Common
507,Dean and Deluca (Belcolade),Ecuador,175,2007,0.71,U.S.A.,3.0,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,41,Common
508,Dean and Deluca (Belcolade),Ghana,175,2007,0.6,U.S.A.,3.0,Ghana,37.09,-95.71,738,most common,Light Amount,-1.0232,7.9465,15,Somewhat Common
509,Dean and Deluca (Belcolade),Papua New Guinea,180,2007,0.64,U.S.A.,3.0,Papua New Guinea,37.09,-95.71,738,most common,Light Amount,147.3257,-6.314993,15,Somewhat Common
510,Dean and Deluca (Belcolade),Peru,180,2007,0.64,U.S.A.,3.0,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967,45,Common
511,Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,0.64,France,3.0,Papua New Guinea,46.6,2.21,144,somewhat common,Light Amount,147.3257,-6.314993,15,Somewhat Common
512,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,0.66,France,3.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,21,Common
513,Desbarres,"Kilombero, batch 41",1916,2016,0.72,Canada,2.5,Tanzania,56.13,-106.35,117,somewhat rare,Average Amount,34.8888,-6.369028,1,Extra Rare
514,DeVries,Bolivian,241,2008,0.8,U.S.A.,2.75,Bolivia,37.09,-95.71,738,most common,High Amount,-63.5887,-16.2902,2,Rare
515,DeVries,Costa Rica,166,2007,0.77,U.S.A.,3.5,Costa Rica,37.09,-95.71,738,most common,Average Amount,-84.0739,9.7489,11,Somewhat Common
516,DeVries,Dominican Republic,166,2007,0.77,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,37,Common
517,Dick Taylor,Lanquin Estate,1952,2017,0.7,U.S.A.,3.75,Guatemala,37.09,-95.71,738,most common,Average Amount,-90.2308,15.7835,1,Extra Rare
518,Dick Taylor,Tien Giang,1864,2016,0.78,U.S.A.,3.5,Vietnam,37.09,-95.71,738,most common,Average Amount,108.2772,14.0583,5,Somewhat Rare
519,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,0.7,U.S.A.,3.75,Bolivia,37.09,-95.71,738,most common,Average Amount,-63.5887,-16.2902,1,Extra Rare
520,Dick Taylor,Elvesia,1235,2014,0.74,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,5,Somewhat Rare
521,Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
522,Dick Taylor,Camino Verde,1193,2013,0.76,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,5,Somewhat Rare
523,Dick Taylor,Bolivia,895,2012,0.75,U.S.A.,2.75,Bolivia,37.09,-95.71,738,most common,Average Amount,-63.5887,-16.2902,12,Somewhat Common
524,Dick Taylor,Belize,955,2012,0.72,U.S.A.,2.75,Belize,37.09,-95.71,738,most common,Average Amount,-88.4977,17.1899,13,Somewhat Common
525,Dick Taylor,Sambirano,661,2011,0.8,U.S.A.,2.75,Madagascar,37.09,-95.71,738,most common,High Amount,46.8691,-18.7669,19,Common
526,Dick Taylor,Sambirano,661,2011,0.72,U.S.A.,3.0,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669,19,Common
527,Dick Taylor,Mantuano,682,2011,0.75,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
528,Dick Taylor,La Red,769,2011,0.74,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,11,Somewhat Common
529,Dick Taylor,Ecuador,769,2011,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,41,Common
530,Doble & Bignall,Puerto Cabello,1688,2015,0.85,U.K.,3.0,Venezuela,55.37,-1.17,95,somewhat rare,High Amount,-66.5897,6.4238,2,Rare
531,Doble & Bignall,"Panama, Raven",1371,2014,0.72,U.K.,3.25,Panama,55.37,-1.17,95,somewhat rare,Average Amount,-80.7821,8.537981,1,Extra Rare
532,Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,0.72,U.K.,3.25,Venezuela,55.37,-1.17,95,somewhat rare,Average Amount,-66.5897,6.4238,1,Extra Rare
533,Doble & Bignall,Johe,1407,2014,0.72,U.K.,3.5,Nicaragua,55.37,-1.17,95,somewhat rare,Average Amount,-85.2072,12.8654,3,Somewhat Rare
534,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.7,U.S.A.,3.75,Hawaii,37.09,-95.71,738,most common,Average Amount,-155.5828,19.8968,2,Rare
535,Dolfin (Belcolade),Africa,304,2008,0.88,Belgium,3.0,West Africa,50.85,4.47,37,rare,High Amount,-3.5,10.0,3,Somewhat Rare
536,Domori,Hacienda Victoria,1672,2015,0.7,Italy,3.75,Ecuador,41.87,12.57,54,rare,Average Amount,-78.1834,-1.8312,2,Rare
537,Domori,Ocumare 77,1672,2015,0.7,Italy,3.75,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
538,Domori,"IL100, H. San Jose",1109,2013,1.0,Italy,3.0,Venezuela,41.87,12.57,54,rare,High Amount,-66.5897,6.4238,1,Extra Rare
539,Domori,Morogoro,863,2012,0.7,Italy,3.5,Tanzania,41.87,12.57,54,rare,Average Amount,34.8888,-6.369028,1,Extra Rare
540,Domori,Guasare,863,2012,0.7,Italy,3.75,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
541,Domori,"Canoabo, Hacienda San Jose",693,2011,0.7,Italy,3.5,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
542,Domori,"Chuao, Hacienda San Jose",470,2010,0.7,Italy,3.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
543,Domori,"Carupano, H. San Jose",227,2008,0.7,Italy,3.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
544,Domori,Teyuna,272,2008,0.7,Italy,3.0,Colombia,41.87,12.57,54,rare,Average Amount,-74.2973,4.5709,1,Extra Rare
545,Domori,Porcelana,111,2007,0.7,Italy,4.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,11,Somewhat Common
546,Domori,"Ocumare 61, Puertomar",129,2007,0.75,Italy,3.25,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
547,Domori,Granella,135,2007,0.6,Italy,3.25,Venezuela,41.87,12.57,54,rare,Light Amount,-66.5897,6.4238,1,Extra Rare
548,Domori,Madagascar,135,2007,0.7,Italy,3.5,Madagascar,41.87,12.57,54,rare,Average Amount,46.8691,-18.7669,56,Common
549,Domori,Madagared,192,2007,0.7,Italy,3.5,Madagascar,41.87,12.57,54,rare,Average Amount,46.8691,-18.7669,1,Extra Rare
550,Domori,"Java, Javablond",192,2007,0.7,Italy,3.75,Indonesia,41.87,12.57,54,rare,Average Amount,113.9213,-0.7893,1,Extra Rare
551,Domori,Ecuador,192,2007,0.7,Italy,4.0,Ecuador,41.87,12.57,54,rare,Average Amount,-78.1834,-1.8312,41,Common
552,Domori,"Ocumare 67, Puertofino",192,2007,0.7,Italy,4.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
553,Domori,Sur del Lago Classificado,87,2006,0.7,Italy,3.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,1,Extra Rare
554,Domori,Apurimac,87,2006,0.7,Italy,3.25,Peru,41.87,12.57,54,rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
555,Domori,Carenero Superior,87,2006,0.7,Italy,3.5,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,10,Somewhat Common
556,Dormouse,Non Pariel Estate,1880,2016,0.75,U.K.,2.75,Grenada,55.37,-1.17,95,somewhat rare,Average Amount,-61.6042,12.1165,1,Extra Rare
557,Dormouse,"Rio Caribe, Batch 7",1672,2015,0.7,U.K.,2.5,Venezuela,55.37,-1.17,95,somewhat rare,Average Amount,-66.5897,6.4238,1,Extra Rare
558,Dormouse,"Colombia, Batch 9",1676,2015,0.8,U.K.,2.75,Colombia,55.37,-1.17,95,somewhat rare,High Amount,-74.2973,4.5709,1,Extra Rare
559,Dormouse,"Madagascar, Batch 8",1676,2015,0.77,U.K.,2.75,Madagascar,55.37,-1.17,95,somewhat rare,Average Amount,46.8691,-18.7669,1,Extra Rare
560,Duffy's,"Rio Dulce, Xoco",1662,2015,0.7,U.K.,4.0,Guatemala,55.37,-1.17,95,somewhat rare,Average Amount,-90.2308,15.7835,1,Extra Rare
561,Duffy's,"Chuno, Xoco",1331,2014,0.7,U.K.,3.5,Nicaragua,55.37,-1.17,95,somewhat rare,Average Amount,-85.2072,12.8654,2,Rare
562,Duffy's,"Rico Rugoso, Xoco",1331,2014,0.76,U.K.,3.75,Nicaragua,55.37,-1.17,95,somewhat rare,Average Amount,-85.2072,12.8654,1,Extra Rare
563,Duffy's,Ocumare,923,2012,0.72,U.K.,3.75,Venezuela,55.37,-1.17,95,somewhat rare,Average Amount,-66.5897,6.4238,17,Common
564,Duffy's,"Indio Rojo, Xoco",623,2011,0.72,U.K.,3.75,Honduras,55.37,-1.17,95,somewhat rare,Average Amount,-86.2419,15.2,1,Extra Rare
565,Duffy's,Dominican Republic,661,2011,0.65,U.K.,3.5,Dominican Republic,55.37,-1.17,95,somewhat rare,Average Amount,-70.1627,18.7357,37,Common
566,Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,0.72,U.K.,3.0,Panama,55.37,-1.17,95,somewhat rare,Average Amount,-80.7821,8.537981,1,Extra Rare
567,Duffy's,"Nicaliso, Xoco",697,2011,0.71,U.K.,3.25,Nicaragua,55.37,-1.17,95,somewhat rare,Average Amount,-85.2072,12.8654,2,Rare
568,Duffy's,Ocumare,765,2011,0.71,U.K.,3.5,Venezuela,55.37,-1.17,95,somewhat rare,Average Amount,-66.5897,6.4238,17,Common
569,Duffy's,Panama,516,2010,0.7,U.K.,3.5,Panama,55.37,-1.17,95,somewhat rare,Average Amount,-80.7821,8.537981,3,Somewhat Rare
570,Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,0.72,U.K.,3.75,Ecuador,55.37,-1.17,95,somewhat rare,Average Amount,-78.1834,-1.8312,1,Extra Rare
571,Duffy's,Star of Ecuador,523,2010,0.7,U.K.,2.5,Ecuador,55.37,-1.17,95,somewhat rare,Average Amount,-78.1834,-1.8312,1,Extra Rare
572,Duffy's,Star of Peru,523,2010,0.7,U.K.,3.75,Peru,55.37,-1.17,95,somewhat rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
573,Dulcinea,Dominican Republic,1506,2015,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,37,Common
574,Durand,Madagascar,841,2012,0.82,France,2.75,Madagascar,46.6,2.21,144,somewhat common,High Amount,46.8691,-18.7669,56,Common
575,Durci,"Maranon, Joya Rara",1626,2015,0.7,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,1,Extra Rare
576,Durci,"Rio Caribe, Tepui Treasure",1626,2015,0.7,U.S.A.,3.5,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
577,Durci,Taino Secret,1630,2015,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
578,Durci,"Carenero, Empyrean Sabor",1630,2015,0.7,U.S.A.,3.25,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
579,Durci,Corona Arriba,1630,2015,0.7,U.S.A.,4.0,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
580,East Van Roasters,Peru,1343,2014,0.7,Canada,3.25,Peru,56.13,-106.35,117,somewhat rare,Average Amount,-75.0152,-9.189967,45,Common
581,East Van Roasters,Madagascar,1343,2014,0.7,Canada,3.5,Madagascar,56.13,-106.35,117,somewhat rare,Average Amount,46.8691,-18.7669,56,Common
582,East Van Roasters,Dominican Republic,1343,2014,0.7,Canada,3.75,Dominican Republic,56.13,-106.35,117,somewhat rare,Average Amount,-70.1627,18.7357,37,Common
583,Eau de Rose,Tumaco,1812,2016,0.7,Canada,3.25,Colombia,56.13,-106.35,117,somewhat rare,Average Amount,-74.2973,4.5709,5,Somewhat Rare
584,Eau de Rose,Arauca,1812,2016,0.7,Canada,3.25,Colombia,56.13,-106.35,117,somewhat rare,Average Amount,-74.2973,4.5709,4,Somewhat Rare
585,Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,0.72,U.S.A.,2.75,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,1,Extra Rare
586,Edelmond,Porcelana,1876,2016,0.68,Germany,3.0,Venezuela,51.17,10.45,35,rare,Average Amount,-66.5897,6.4238,11,Somewhat Common
587,El Ceibo,"Alto Beni, Covendo Region",709,2011,0.75,Bolivia,3.75,Bolivia,-16.29,-63.59,2,extra rare,Average Amount,-63.5887,-16.2902,1,Extra Rare
588,El Ceibo,Alto Beni,252,2008,0.71,Bolivia,2.75,Bolivia,-16.29,-63.59,2,extra rare,Average Amount,-63.5887,-16.2902,8,Somewhat Rare
589,El Rey,San Joaquin,1662,2015,0.7,Venezuela,3.75,Venezuela,6.42,-66.59,20,extra rare,Average Amount,-66.5897,6.4238,1,Extra Rare
590,El Rey,"Rio Caribe, Cariaco",439,2009,0.605,Venezuela,2.75,Venezuela,6.42,-66.59,20,extra rare,Light Amount,-66.5897,6.4238,1,Extra Rare
591,El Rey,"Rio Caribe, Macuro",439,2009,0.7,Venezuela,3.0,Venezuela,6.42,-66.59,20,extra rare,Average Amount,-66.5897,6.4238,1,Extra Rare
592,El Rey,"Carenero Superior, Apamate",206,2008,0.74,Venezuela,2.5,Venezuela,6.42,-66.59,20,extra rare,Average Amount,-66.5897,6.4238,1,Extra Rare
593,El Rey,"Carenero Superior, Bucare",206,2008,0.58,Venezuela,2.5,Venezuela,6.42,-66.59,20,extra rare,Light Amount,-66.5897,6.4238,1,Extra Rare
594,El Rey,"Carenero Superior, Mijao",206,2008,0.61,Venezuela,3.0,Venezuela,6.42,-66.59,20,extra rare,Light Amount,-66.5897,6.4238,1,Extra Rare
595,El Rey,"Carenero Superior, Gran Saman",32,2006,0.7,Venezuela,2.75,Venezuela,6.42,-66.59,20,extra rare,Average Amount,-66.5897,6.4238,1,Extra Rare
596,Emerald Estate,Emerald Estate,1137,2013,0.6,St. Lucia,2.75,St. Lucia,13.91,-60.98,2,extra rare,Light Amount,-60.9789,13.9094,2,Rare
597,Emerald Estate,Emerald Estate,1137,2013,0.7,St. Lucia,3.25,St. Lucia,13.91,-60.98,2,extra rare,Average Amount,-60.9789,13.9094,2,Rare
598,Emily's,Patanemo,1450,2015,0.79,Japan,3.0,Venezuela,36.2,138.25,17,extra rare,Average Amount,-66.5897,6.4238,7,Somewhat Rare
599,Emily's,Peru,1454,2015,0.78,Japan,3.5,Peru,36.2,138.25,17,extra rare,Average Amount,-75.0152,-9.189967,45,Common
600,ENNA,"Wampusirpi, batch 007",1916,2016,0.75,U.S.A.,3.25,Honduras,37.09,-95.71,738,most common,Average Amount,-86.2419,15.2,1,Extra Rare
601,Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,0.8,Spain,3.25,Sao Tome & Principe,40.46,-3.7,21,extra rare,High Amount,6.6131,0.1864,3,Somewhat Rare
602,Erithaj (A. Morin),Ben Tre,1205,2014,0.7,France,3.25,Vietnam,46.6,2.21,144,somewhat common,Average Amount,108.2772,14.0583,4,Somewhat Rare
603,Erithaj (A. Morin),Ham Luong,1209,2014,0.8,France,3.0,Vietnam,46.6,2.21,144,somewhat common,High Amount,108.2772,14.0583,1,Extra Rare
604,Erithaj (A. Morin),Ba Lai,1209,2014,0.74,France,3.25,Vietnam,46.6,2.21,144,somewhat common,Average Amount,108.2772,14.0583,1,Extra Rare
605,Escazu,Rio Caribe,903,2012,0.7,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,5,Somewhat Rare
606,Escazu,Guapiles,414,2009,0.65,U.S.A.,2.0,Costa Rica,37.09,-95.71,738,most common,Average Amount,-84.0739,9.7489,1,Extra Rare
607,Escazu,Carenero Superior,423,2009,0.81,U.S.A.,3.5,Venezuela,37.09,-95.71,738,most common,High Amount,-66.5897,6.4238,10,Somewhat Common
608,Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,0.74,U.S.A.,2.75,Costa Rica,37.09,-95.71,738,most common,Average Amount,-84.0739,9.7489,1,Extra Rare
609,Escazu,Ocumare,252,2008,0.72,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,17,Common
610,Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,0.55,U.S.A.,2.5,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967,1,Extra Rare
611,Ethel's Artisan (Mars),Trinidad,666,2011,0.55,U.S.A.,2.5,Trinidad,37.09,-95.71,738,most common,Light Amount,-61.2225,10.6918,11,Somewhat Common
612,Ethel's Artisan (Mars),Porcelana,666,2011,0.7,U.S.A.,2.5,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,11,Somewhat Common
613,Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,0.62,U.S.A.,2.5,Venezuela,37.09,-95.71,738,most common,Light Amount,-66.5897,6.4238,1,Extra Rare
614,Ethereal,Belize,1275,2014,0.8,U.S.A.,3.0,Belize,37.09,-95.71,738,most common,High Amount,-88.4977,17.1899,13,Somewhat Common
